,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FGF14-AS1,1.01E-230,1.371987625,0.305,0.102,2.11E-226,4,FGF14-AS1
ZBTB8A1,1.69E-230,0.539557174,0.701,0.327,3.55E-226,4,ZBTB8A
STAG21,5.10E-229,2.2631272,0.257,0.081,1.07E-224,4,STAG2
CLIP4,1.34E-215,0.492330642,0.707,0.34,2.82E-211,4,CLIP4
EML31,6.64E-206,1.300670226,0.244,0.074,1.39E-201,4,EML3
PRDM6-AS11,7.34E-204,0.726604718,0.295,0.102,1.54E-199,4,PRDM6-AS1
ZZEF1,1.46E-202,0.531700118,0.574,0.256,3.06E-198,4,ZZEF1
ADCYAP1,1.12E-199,0.710482555,0.449,0.186,2.35E-195,4,ADCYAP1
RCHY11,3.25E-199,0.946184552,0.394,0.161,6.81E-195,4,RCHY1
SCN4B,3.85E-191,0.336198686,0.348,0.131,8.06E-187,4,SCN4B
N4BP2,3.44E-190,0.797991121,0.443,0.192,7.21E-186,4,N4BP2
MAST3,2.13E-182,0.544443124,0.386,0.152,4.47E-178,4,MAST3
TMEM171,6.93E-182,0.3082678,0.485,0.214,1.45E-177,4,TMEM171
TUBGCP32,7.67E-176,1.605081802,0.122,0.025,1.61E-171,4,TUBGCP3
MSTO12,3.74E-173,0.54570736,0.716,0.384,7.85E-169,4,MSTO1
SH3BP22,4.70E-172,1.032738774,0.27,0.097,9.86E-168,4,SH3BP2
PAK42,7.56E-169,2.070537845,0.154,0.04,1.59E-164,4,PAK4
ZNF107,8.42E-166,2.544605138,0.068,0.009,1.77E-161,4,ZNF107
BFSP2-AS13,1.15E-156,0.551395356,0.369,0.152,2.41E-152,4,BFSP2-AS1
OBI11,1.31E-156,1.632243072,0.135,0.033,2.76E-152,4,OBI1
TPTE2P3,6.46E-134,0.681080162,0.296,0.124,1.36E-129,4,TPTE2P3
PFDN62,7.48E-128,0.641052135,0.29,0.121,1.57E-123,4,PFDN6
KIF23,6.37E-119,0.493386668,0.261,0.108,1.33E-114,4,KIF23
FPGT,3.07E-113,0.37202414,0.686,0.404,6.44E-109,4,FPGT
LINC024133,1.89E-111,0.832540335,0.22,0.088,3.96E-107,4,LINC02413
SPRED31,6.18E-101,0.542282467,0.182,0.069,1.30E-96,4,SPRED3
CWC15,1.47E-98,0.103482971,0.317,0.149,3.08E-94,4,CWC15
TTC53,4.39E-94,0.533240238,0.254,0.114,9.22E-90,4,TTC5
TMEM1384,9.84E-88,0.170836623,0.957,0.654,2.06E-83,4,TMEM138
ZNF707,1.36E-84,0.150357459,0.674,0.377,2.85E-80,4,ZNF707
PGRMC22,2.96E-84,0.918624693,0.098,0.029,6.20E-80,4,PGRMC2
DNAJB6,8.48E-82,0.129070239,0.185,0.077,1.78E-77,4,DNAJB6
AP3S2,8.21E-76,0.342112136,0.318,0.165,1.72E-71,4,AP3S2
TFAM1,2.53E-74,1.564686258,0.192,0.091,5.31E-70,4,TFAM
WRAP531,4.41E-72,0.234158418,0.395,0.225,9.25E-68,4,WRAP53
ST3GAL6-AS1,5.57E-72,0.942216001,0.191,0.089,1.17E-67,4,ST3GAL6-AS1
U2AF1,2.64E-64,0.704700378,0.097,0.033,5.54E-60,4,U2AF1
ZDHHC191,7.81E-61,1.048975123,0.109,0.042,1.64E-56,4,ZDHHC19
GBP4,1.26E-59,0.322590853,0.189,0.091,2.64E-55,4,GBP4
C12orf572,1.20E-57,0.500849192,0.238,0.126,2.52E-53,4,C12orf57
GMIP,3.67E-57,1.346617369,0.032,0.005,7.69E-53,4,GMIP
TDRD7,1.03E-50,0.583403196,0.173,0.086,2.17E-46,4,TDRD7
FUT6,2.11E-45,2.108291251,0.043,0.011,4.42E-41,4,FUT6
RUFY4,2.60E-45,0.225710237,0.245,0.136,5.44E-41,4,RUFY4
CPSF3,2.10E-43,0.689920602,0.096,0.04,4.40E-39,4,CPSF3
TRIM36,3.30E-42,0.31434448,0.217,0.123,6.92E-38,4,TRIM36
PTH,9.93E-42,0.408837905,0.227,0.131,2.08E-37,4,PTH
ERN2,7.96E-41,0.372870022,0.186,0.103,1.67E-36,4,ERN2
CR1-AS11,8.95E-39,0.208591386,0.103,0.046,1.88E-34,4,CR1-AS1
CNTNAP2-AS11,7.47E-36,0.200479379,0.228,0.136,1.57E-31,4,CNTNAP2-AS1
MROCKI2,7.47E-36,0.42986963,0.219,0.131,1.57E-31,4,MROCKI
ATF2,4.09E-34,0.764109388,0.052,0.018,8.58E-30,4,ATF2
PPP1R3D1,2.16E-30,0.440662968,0.076,0.034,4.53E-26,4,PPP1R3D
GPATCH23,1.93E-29,0.189269873,0.178,0.105,4.04E-25,4,GPATCH2
TSBP1-AS1,1.78E-28,0.6613906,0.05,0.019,3.73E-24,4,TSBP1-AS1
FECH,2.75E-28,0.247731742,0.162,0.094,5.76E-24,4,FECH
FNDC102,7.56E-28,0.785638291,0.086,0.042,1.59E-23,4,FNDC10
TEX11,2.81E-22,2.114964464,0.017,0.004,5.90E-18,4,TEX11
HPCAL42,8.03E-22,0.729016851,0.044,0.018,1.68E-17,4,HPCAL4
MAP3K21,1.42E-15,0.176174178,0.046,0.022,2.98E-11,4,MAP3K21
